originx,originy,destinationx,destinationy
468.54376,158.94785,129.60095,200.91246
144.46259,201.29102,541.33984,160.94081
212.63873,397.1806,494.27075,154.92296
130.71411,205.14088,223.72766,168.4367
605.79395,317.9439,626.0005,175.98769
659.2915,345.9259,659.2915,345.9259
371.23022,138.55057,197.39319,154.50627
480.5233,195.74753,197.39319,154.50627
572.13306,301.2038,481.12903,153.17377
484.60284,151.68103,66.00183,307.92966
220.17126,175.64154,481.12903,153.17377
312.53384,187.92577,528.6503,132.70367
528.6503,132.70367,468.54376,158.94785
658.156,239.11765,173.78027,181.03937
605.62915,294.3114,496.75677,135.29362
541.33984,160.94081,480.5233,195.74753
223.72766,168.4367,641.92456,228.22601
344.26154,194.15794,572.8517,301.54657
612.70886,166.08739,528.6503,132.70367
641.92456,228.22601,312.53384,187.92577
377.88303,158.8415,341.82297,294.7423
220.17126,175.64154,197.39319,154.50627
173.78027,181.03937,541.33984,160.94081
572.13306,301.2038,480.5233,195.74753
129.60095,200.91246,627.3135,171.54712
634.11523,231.896,370.7114,137.61844
480.5233,195.74753,341.82297,294.7423
130.71411,205.14088,570.84424,155.0202
312.53384,187.92577,276.39545,391.30145
276.39545,391.30145,634.06134,230.50087
197.39319,154.50627,480.5582,195.76416
494.27075,154.92296,496.75677,135.29362
130.71411,205.14088,570.84424,155.0202
572.13306,301.2038,612.70886,166.08739
611.0421,174.87833,344.26154,194.15794
514.44604,133.4604,634.11523,231.896
312.53384,187.92577,494.27075,154.92296
494.27075,154.92296,570.84424,155.0202
130.71411,205.14088,484.60284,151.68103
572.13306,301.2038,573.6253,155.66197
611.0421,174.87833,634.06134,230.50087
611.0421,174.87833,456.6039,133.2594
611.0421,174.87833,377.88303,158.8415
514.44604,133.4604,377.88303,158.8415
312.53384,187.92577,220.17126,175.64154
619.70654,167.23409,480.5233,195.74753
341.82297,294.7423,,
129.60095,200.91246,,
480.5233,195.74753,,
665.66455,357.04526,,
605.62915,294.3114,,
480.5233,195.74753,,
659.2915,345.9259,,