originx,originy
463.7658,140.37285
541.33984,160.94081
129.60095,200.91246
197.39319,154.50627
341.82297,294.7423
665.66455,357.04526
641.92456,228.22601
456.6039,133.2594
66.00183,307.92966
612.70886,166.08739
370.7114,137.61844
605.79395,317.9439
463.0465,138.52344
545.401,133.16153
312.53384,187.92577
220.17126,175.64154
541.33984,160.94081
452.95377,144.11697
377.88303,158.8415
480.5233,195.74753
463.7658,140.37285
480.5233,195.74753
223.72766,168.4367
452.1027,219.57661
523.32227,150.8405
456.6039,133.2594
212.63873,397.1806
173.78027,181.03937
66.00183,307.92966
626.0005,175.98769
541.33984,160.94081
377.88303,158.8415
456.6039,133.2594
504.8211,182.2767
129.60095,200.91246
572.13306,301.2038
685.61566,344.24
626.0005,175.98769
371.23022,138.55057
626.0005,175.98769
142.31482,176.43874
452.1027,219.57661
551.3251,135.30247
504.8211,182.2767
551.3251,135.30247