Restaurant,Lat,Long,Reviews,Stars,Type
El Crosto,42.5081367,1.5221802,193,5,Restaurant
L'Escenari de Pizzes,42.509467,1.5301592,288,5,Restaurant
La Botiga Del Te,42.5081499,1.5225895,39,5,Restaurant
Bodega Poblet,42.5088043,1.5213249,150,5,Restaurant
Restaurant Eximi,42.5081963,1.5224501,315,5,Restaurant
"Placeta Monj_, 3",42.5069248,1.5207842,45,5,Restaurant
El Burg,42.50457,1.5151098,41,5,Restaurant
Plat'in,42.5074095,1.5312165,168,5,Restaurant
Versailles,42.5078915,1.5220869,143,5,Restaurant
El Raval,42.5075853,1.5292014,12,5,Restaurant
And Burger Zero,42.508033,1.5222998,241,5,Restaurant
Restaurant El Cap Bo,42.5088681,1.53232,25,5,Restaurant
Restaurant Tatu,42.5051858,1.5253919,8,5,Restaurant
Pizzeria Primavera,42.5070386,1.5299884,78,4,Restaurant
Restaurant Ca La Conxita,42.5088152,1.5197177,53,5,Restaurant
l' Arrosseria,42.5071575,1.5192745,109,4,Restaurant
Can Manel,42.5064079,1.5131898,97,5,Restaurant
La Cava Andorra,42.5083325,1.5197924,98,5,Restaurant
Quarts de Quinze,42.508284,1.521535,33,5,Restaurant
Bufet El Grill,42.5078726,1.5215328,138,4,Restaurant
Taberna Angel Belmonte,42.5073769,1.4966052,151,4,Restaurant
Eatalian Republic,42.5070396,1.5239292,68,5,Restaurant
The Family Arms,42.5074723,1.4491193,96,4,Restaurant
La Borda Pairal 1630,42.5054023,1.5196576,84,4,Restaurant
L'Alternativa,42.5081503,1.5196952,24,5,Restaurant
La Adelita Andorra,42.5077641,1.5197941,103,4,Restaurant
1940,42.5073573,1.4457603,136,4,Restaurant
Pizzera Angelo,42.5073363,1.5309368,109,4,Restaurant
Restaurant Pinosa,42.5077417,1.5321506,12,5,Restaurant
K L'IRINA,42.5069724,1.5289928,7,5,Restaurant
Borda Estevet,42.5029779,1.5177029,250,4,Restaurant
Minim's,42.5071948,1.5186087,56,4,Restaurant
La Cupula,42.5069402,1.5279358,68,5,Restaurant
Plato Restaurant,42.5071125,1.5225551,46,4,Restaurant
Restaurant Plaza at Hotel Plaza,42.5069402,1.5279358,,,Restaurant
Restaurant La Forquilla,42.507302,1.5258363,29,4,Restaurant
Los Dos Casadors,42.5075176,1.5043996,34,4,Restaurant
Vietnam Gourmet,42.5066149,1.5285129,21,4,Restaurant
La Piazza,42.507922,1.5289458,93,4,Restaurant
L'ABADIA CERVECERIA INTERNACIONAL,42.5078043,1.520175,18,,Restaurant
Santagloria,42.507646,1.53303,17,4,Restaurant
Ranxo apart snack pub,42.5034966,1.511429,4,5,Restaurant
Restaurant Pizzeria Magna,42.5081114,1.5270003,5,5,Restaurant
Restaurant Raco D'En Josep,42.5055706,1.5177716,38,4,Restaurant
El Tall a Taula,42.5085041,1.5289951,71,4,Restaurant
Restaurant Hotel Husa Centric,42.508319,1.5267344,45,4,Restaurant
Papanico,42.5075856,1.5193891,147,4,Restaurant
Restaurant Dos Cacadors,42.5073814,1.5202113,41,4,Restaurant
Art i pa andorra,42.5073318,1.4568582,19,4,Restaurant
Hostal Cisco de Sans,42.5070765,1.5182868,12,4,Restaurant
Espai Birra,42.5054694,1.5263213,2,5,Restaurant
Restaurant 120,42.508357,1.5312303,398,4,Restaurant
Restaurant Celler D'En Toni,42.5070869,1.5295692,44,4,Restaurant
El Refugi Alpi,42.5089333,1.5270089,370,4,Restaurant
Restaurant 3 Eixos,42.5079993,1.5256503,9,5,Restaurant
Casa Teresa,42.5078841,1.5267272,37,4,Restaurant
Restaurant Camping Valira,42.4980723,1.5019287,4,5,Restaurant
Angelo and Friends,42.5073363,1.5309368,13,4,Restaurant
El Grill at Hotel Novotel,42.5073424,1.5251107,23,4,Restaurant
Hotel Isard Restaurant,42.5079499,1.5230436,32,4,Restaurant
El Bon Raco Bar & Restaurant,42.49519,1.5026414,43,4,Restaurant
El Raco del Park,42.5092791,1.5206004,10,4,Restaurant
Restaurant Henri,42.5070396,1.5239292,22,4,Restaurant
Mc Donald's,42.5084785,1.5284006,6,4,Restaurant
Hotel Hesperia Restaurant,42.5091657,1.5271409,7,4,Restaurant
Frankfurt Pedralbes Andorra,42.5078282,1.5305157,37,4,Restaurant
La Taverna D'En Mallol,42.5069822,1.5296266,31,4,Restaurant
El Japo,42.50895,1.5263847,59,4,Restaurant
Can Benet,42.5072414,1.5183129,30,4,Restaurant
RACO DE TOBIRA,42.5053473,1.4452193,2,5,Restaurant
Restaurant El Faisa,42.5078979,1.5201406,32,4,Restaurant
Restaurant Els Cacadors,42.5100113,1.5294379,16,4,Restaurant
Andorra Center Hotel Restaurant,42.5076577,1.5181294,39,4,Restaurant
Sushi and Gong,42.5080372,1.5205624,52,4,Restaurant
El Jardi at Hotel Mercure,42.5078909,1.4924492,7,4,Restaurant
La Boheme,42.5078652,1.5236774,13,4,Restaurant
Lorenzo's,42.5054983,1.4450923,3,5,Restaurant
Mama Maria,42.5080783,1.5228039,590,3,Restaurant
La Taverna d'Excalibur,42.5086338,1.5368836,137,3,Restaurant
Restaurante Vermell Ahotels Princep,42.5081193,1.5319705,34,4,Restaurant
Monxi el pirata,42.4963857,1.5003957,1,5,Restaurant
Els Manyos,42.5050568,1.5241874,8,4,Restaurant
Restaurante Hotel Sant Jordi,42.5064339,1.5162615,3,4,Restaurant
Bondia Cafe,42.5067776,1.5136973,11,4,Restaurant
Buda Espai Andorra,42.5006295,1.5106912,47,3,Restaurant
Salvia D'Or Restaurant,42.5084489,1.5256794,7,4,Restaurant
La Brasserie at Hotel Andorra Palace,42.5082991,1.52481,4,4,Restaurant
Hotel Magic Andorra Restaurant,42.5093974,1.5282023,7,4,Restaurant
Restaurant Pizzeria Casa Teva,42.5003852,1.505912,3,4,Restaurant
El Gran Cafe,42.5057102,1.5175683,5,4,Restaurant
Roma,42.5091545,1.5274893,3,4,Restaurant
Kilombo,42.5074165,1.5186849,1,4,Restaurant
Lizarran,42.508732,1.528058,61,3,Restaurant
Els teus sentits,42.507103,1.520875,22,4,Restaurant
La Taverna De Les Valls,42.506428,1.515783,1,4,Restaurant
La Fontana,42.507506,1.531375,4,4,Restaurant
L'Orri,42.532501,1.573982,14,4,Restaurant
The Burger Lounge,42.508957,1.53441,42,3,Restaurant
Monxi el pirata,42.496386,1.500374,1,4,Restaurant
Pizzeria Restaurant Allioli,42.507529,1.531353,5,1,Restaurant
Xamfra,42.507513,1.520073,1,1,Restaurant
El Gran Cafe,42.505711,1.519713,5,4,Restaurant
El Tap,42.507695,1.531884,1,3,Restaurant
La Cortina Restaurant,42.508259,1.521539,1,3,Restaurant
Sal i Pebre,42.508594,1.530712,1,3,Restaurant
Bar restaurante Armada,42.504903,1.5146723,1,3,Restaurant
La cafeteria 124,42.508382,1.533411,1,3,Restaurant
Hotel Residencia Paris Restaurant,42.50895,1.528531,2,3,Restaurant
Chesterfield Lounge,42.508589,1.527767,1,3,Restaurant
Cafeteria Self-Service CCA,42.508228,1.530337,4,3,Restaurant
Diplomatic Restaurant,42.505037,1.526222,4,3,Restaurant
Arroba Centre,42.507625,1.533211,2,4,Restaurant
Celler del Vi,42.506433,1.529152,4,3,Restaurant
Restaurant Grill Pizzeria La Mossegada,42.508981,1.529112,68,4,Restaurant
Hotel Restaurant Bellpi,42.503867,1.514002,3,3,Restaurant
Tastets,42.508138,1.522179,9,3,Restaurant
L'Aigueta,42.505186,1.5254,3,3,Restaurant
Restaurante Oxalis,42.503284,1.513378,1,2,Restaurant
La Casa Del Boeuf,42.50752,1.522851,2,2,Restaurant
Fesc Co,42.509158,1.529276,22,3,Restaurant
Vilarrasa,42.508251,1.521497,10,3,Restaurant
La Dama Del Lac,42.522504,1.571996,9,2,Restaurant
L'esquiador,42.510075,1.538786,4,2,Restaurant
Restaurant Font Vert,42.507339,1.530715,9,2,Restaurant
Chesterfield Lounge,42.508589,1.527767,1,3,Restaurant
Cafeteria Self-Service CCA,42.508228,1.530337,4,3,Restaurant
Diplomatic Restaurant,42.505037,1.526222,4,3,Restaurant
Arroba Centre,42.507625,1.533211,2,4,Restaurant
Celler del Vi,42.506433,1.529152,4,3,Restaurant
Restaurant Grill Pizzeria La Mossegada,42.508981,1.529112,68,4,Restaurant
Hotel Restaurant Bellpi,42.503867,1.514002,3,3,Restaurant
Tastets,42.508138,1.522179,9,3,Restaurant
L'Aigueta,42.505186,1.5254,3,3,Restaurant
Restaurante Oxalis,42.503284,1.513378,1,2,Restaurant
La Casa Del Boeuf,42.50752,1.522851,2,2,Restaurant
Fesc Co,42.509158,1.529276,22,3,Restaurant
Vilarrasa,42.508251,1.521497,10,3,Restaurant
La Dama Del Lac,42.522504,1.571996,9,2,Restaurant
L'esquiador,42.510075,1.538786,4,2,Restaurant
Restaurant Font Vert,42.507339,1.530715,9,2,Restaurant