Name,Lat,Long,Reviews,Type
Grandvalira Ski Resort,42.578394,1.646131,510,Outdoor Activities
LA BIRRERIA ANDORRA,42.5071089,1.5213439,29,Bars
Sant Esteve Church,42.5072038,1.5216923,51,Landmark
Sola Irrigation Canal Trail,42.5276424,1.5206606,13,Outdoor Activities
Cca - Centre Comercial Andorra,42.5082301,1.5303401,23,Shopping
Karting Grandvalira,42.506317,1.521835,6,Outdoor Activities
Bus Turistico Tours,42.506317,1.521835,15,Outdoor Activities
Grans Magatzems Pyr_n_es,42.507873,1.523679,48,Shopping
Fountain Circuit 1 Trail,42.506317,1.521835,7,Outdoor Activities
Coll Arenys,42.5088588,1.5191881,3,Outdoor Activities
Plaza del Poble,42.5067779,1.5222804,10,Plaza
Plaza de la Rotonda,42.5086133,1.5292124,10,Plaza
Poliesportiu d'Andorra,42.5049937,1.517555,3,Sport
Pavell Joan Alay,42.5049937,1.517555,3,Sport
Pont dEngordany,42.5091307,1.5399508,3,Landmark
Pont de la Tosca,42.509447,1.5418069,3,Landmark
Complex Esportiu Prat del Roure,42.5092335,1.5371291,3,Sport
Centre Termol_dic Caldea(Massage),42.5094549,1.5368931,90,Spa
IN_U,42.5094549,1.5368931,4,Spa