ID,Cluster
0,Apparel & Fashion
1,Architecture & Planning
2,Automotive
3,Banking
4,Biotechnology
5,Commercial Real Estate
6,Computer & Network Security
7,Computer & Network Security
8,Computer Games
9,Computer Hardware
10,Computer Networking
11,Computer Software
12,Construction
13,Consumer Electronics
14,Consumer Goods
15,Consumer Services
16,Cosmetics
17,Design
18,E-learning
19,Education Management
20,Electrical & Electronic Manufacturing
21,Entertainment
22,Environmental Services
23,Financial Services
24,Fine Art
25,Food & Beverages
26,"Health, Wellness & Fitness"
27,Higher Education
28,Hospital & Health Care
29,Human Resources
30,Information Services
31,Information Technology & Services
32,Internet
33,Leisure & Travel
34,Logistics & Supply Chain
35,Management Consulting
36,Market Research
37,Marketing & Advertising
38,Mechanical or Industrial Engineering
39,Media Production
40,Medical Device
41,Medical Practice
42,Music
43,Nanotechnology
44,Nonprofit Organization Management
45,Oil & Energy
46,Online Publishing
47,Outsourcing/Offshoring
48,Pharmaceuticals
49,Professional Training
50,Publishing
51,Real Estate
52,Real Estate
53,Renewables & Environment
54,Research
55,Retail
56,Semiconductors
57,Staffing & Recruiting
58,Telecommunications
59,Transportation/Trucking/Railroad
60,Venture Capital
61,Veterinary
62,Wireless
63,Writing & Editing