"shapeid","From_To","Existing","Class","Road_No","Shape_Leng","Score","Shape_STLe","Shape_Le_1"
"0","Division St: Orchard Ave to Frontage Rd","No","II","1002","4427.01324159","0","4427.01324159","4427.01324159"
"1","Division St: Oso Flaco Rd to HWY 1","No","II","1002","12801.8473964","80","12801.8473964","12801.8473964"
"2","Division St: Oso Flaco Rd to Las Flores Dr","No","II","1002","12565.7393268","80","12565.7393268","12565.7393268"
"3","Division St: Las Flores Dr to Orchard St","Yes","II","1002","4446.53185023","0","4446.53185023","4446.53185023"
"4","Halcyon Rd: The pike to Hwy 1","Yes","II","1079","2976.43015131","0","2976.43015131","2976.43015131"
"5","Halcyon Rd: HWY 1 to El Campo Rd","No","II","1079","11029.8471491","0","11029.8471491","11029.8471491"
"6","Hazel Ln: Tefft to Division","No","II","1200","3071.62798467","0","3071.62798468","3071.62798468"
"7","Hutton Rd: HWY 166 to south end","No","II","1514","6500.03905863","0","6500.03905864","6500.03905864"
"8","Joshua Rd: Orchard Ave to Hutton Rd","No","II","1515","2728.18456792","82","2728.18456792","2728.18456792"
"9","Juniper St: Pomeroy Rd to N Frontage Rd","Yes","III","1033","4099.76891905","0","4099.76891905","4099.76891905"
"10","Los Berros Rd: Pomeroy Rd to Hwy 101","No","II","1061","8794.68875934","85","8794.68875934","8794.68875934"
"11","Los Berros Rd: Pomeroy Rd to El Campo","No","II","1061","8331.14975884","90","8331.14975884","8331.14975884"
"12","Los Berros Rd: El Campo Rd to Valley Rd","No","II","1061","7297.65812609","0","7297.6581261","7297.6581261"
"13","Mary Ave: Juniper St to Tefft St","Yes","III","1302","1389.77251374","0","1389.77251375","1389.77251375"
"14","Orchard Ave: Southland St to Joshua St","No","II","1024","8559.84429269","82","8559.8442927","8559.8442927"
"15","Oso Flaco Lake Rd: Division St to Oso Flace Lake","Yes","III","1003","28059.139589","0","28059.139589","28059.139589"
"16","Pomeroy Rd: Lyn Rd to Willow Rd","No","II","1034","10650.8893906","0","10650.8893906","10650.8893906"
"17","Pomeroy Rd: Willow Rd to Tefft St","Yes","II","1034","12720.1807794","0","12720.1807794","12720.1807794"
"18","Pomeroy Rd: Los Berros Rd to Lyn Rd","No","II","1034","3985.78494613","0","3985.78494613","3985.78494613"
"19","Tefft St: Las Flores Dr to Carillo St","Yes","II","1018","11925.3121653","0","11925.3121653","11925.3121653"
"20","Thompson Ave: Knotts St to HWY 166","No","II","1516","19603.0530035","80","19603.0530035","19603.0530035"
"21","Thompson Ave: 1 Mile N/W Tefft St to Hwy 101","No","II","1516","11154.2483503","0","11154.2483503","11154.2483503"
"22","Willow Rd: Pomeroy Rd to HWY 1","Yes","II","1073","13706.272076","0","13706.272076","13706.272076"
"23","Willow Rd: Pomeroy to Thompson Ave","No","II","1073","10692.4260941","0","10692.4260941","10692.4260941"
"24","Hutton Rd: HWY 166 to Joshua St","No","II","NULL","776.88532529","0","776.885325298","776.885325298"
"25","Las Flores Dr: Osage Rd to Division St","Yes","III","1019","6264.18327871","0","6264.18327871","6264.18327871"
"26","Thompson Ave: Tefft to 1 Mile N/W Tefft St","Yes","II","1516","5303.59062539","80","5303.59062539","5303.59062539"
"27","Thompson Ave: 1 Mile N/W Tefft St to Knotts St","No","II","1516","1872.03984007","80","1872.03984007","1872.03984007"
"28","El Campo Rd: Los Berros Rd to Woodland Hills","No","II","1393","12845.0067727","0","12845.0067727","12845.0067727"
"29","South Frontage Rd: Grande Ave to Southland Ave","Yes","II","1035","4171.04365228","0","4171.04365228","4171.04365228"
"30","Orchard : Tefft to Southland St","Yes","II","NULL","6819.07777485","0","6819.07777485","6819.07777485"
"31","Mallagh St:Tefft St to Eve St","Yes","III","1055","2760.8065301","0","2760.8065301","2760.8065301"
"32","Osage St: Mesa Rd  to Las Flores Dr","Yes","III","1221","4067.74567879","0","4067.7456788","4067.7456788"
"33","Hazel Ln: Tefft to Division","Yes","III","1200","3071.62798468","0","3071.62798468","3071.62798468"
"34","South Frontage Rd: Tefft St to Grande Ave","No","II","1035","2074.83555425","0","2074.83555426","2074.83555426"
"35","South Frontage Rd: Tefft St to Grande Ave","Yes","III","1035","2078.31448525","0","2078.31448526","2078.31448526"
"36","22nd St: HWY 1 to The Pike","No","II","1083","3092.18880084","0","3092.18880085","3092.18880085"
"37","22nd St: HWY 1 to The Pike","Yes","III","1083","3083.05396964","0","3083.05396965","3083.05396965"
"38","S Elm St: HWY 1 to AG CL","Yes","II","1252","2218.57624664","0","2218.57624665","2218.57624665"
"39","Price St: Thompson St to Beechnut St","Yes","III","1063","1125.46962152","0","1125.46962152","1125.46962152"
"40","Mesa: Tefft to Easy Ln","Yes","III","1222","4592.6069571","0","4592.6069571","4592.6069571"
"41.0","Mesa: Easy Ln to Viva","No","III","NULL","7692.31532837","0","7692.31532838","7692.31532838"
"41.1","Mesa: Easy Ln to Viva","No","III","NULL","7692.31532837","0","7692.31532838","7692.31532838"
"41.2","Mesa: Easy Ln to Viva","No","III","NULL","7692.31532837","0","7692.31532838","7692.31532838"
"42","Tefft St: Carillo St to Thompson Ave","Yes","III","1018","1864.20689088","0","1864.20689088","1864.20689088"
"43","Las Flores Dr: Tefft to Division","No","II","1519","3140.80576859","0","3140.8057686","3140.8057686"
"44","Valley Rd: HWY 1 to Los Berros Rd","Yes","II","1140","1882.21640684","0","1882.21640685","1882.21640685"
"45","HWY 1: Monterey Co to San Barbara Co","Yes","III","0001","148.92708309","0","148.927083098","148.927083098"
"46.0","HWY 1: Monterey Co to San Barbara Co","Yes","III","0001","36484.7894035","0","36484.6232298","36484.7894035"
"46.1","HWY 1: Monterey Co to San Barbara Co","Yes","III","0001","36484.7894035","0","36484.6232298","36484.7894035"
"46.2","HWY 1: Monterey Co to San Barbara Co","Yes","III","0001","36484.7894035","0","36484.6232298","36484.7894035"
"47","HWY 1: Monterey Co to San Barbara Co","Yes","III","0001","47171.0773641","0","34131.606375","34131.606375"
